School Name,School Type,Address,Postcode,Phone #,LGA Name
Whitfield District Primary School,Primary,6182 Mansfield Road,3733,03 5729 8286,Wangaratta (RC)
Greta Valley Primary School,Primary,2376 Wangaratta Kilfeera Road,3675,03 5766 6344,Wangaratta (RC)
Everton Primary School,Primary,2157 Great Alpine Road,3678,03 5727 0222,Wangaratta (RC)
Waaia Yalca South Primary School,Primary,1 Cowan Street,3637,03 5864 1283,Moira (S)
Nangiloc Colignan and District Primary School,Primary,2612 Kulkyne Way,3494,03 5029 1483,Mildura (RC)
Tyrrell College,Pri/Sec,10 Sutcliff Street,3533,03 5070 2106,Buloke (S)
Harcourt Valley Primary School,Primary,3 Wilkinson Street,3453,03 5474 2266,Mount Alexander (S)
Beverford District Primary School,Primary,20 School Road,3590,03 5037 6622,Swan Hill (RC)
Niddrie Primary School,Primary,25 Watt Street,3042,03 9379 6587,Moonee Valley (C)
Toolern Vale and District Primary School,Primary,361 Creamery Road,3337,03 9746 1312,Melton (C)
Parkhill Primary School,Primary,4a Parkhill Drive,3147,03 9807 2239,Monash (C)
Kananook Primary School,Primary,22 Wells Road,3198,03 9786 6066,Frankston (C)
Roberts McCubbin Primary School,Primary,57 Birdwood Street,3128,03 9890 2372,Whitehorse (C)
Tarwin Valley Primary School,Primary,6 Geale Street,3956,03 5664 7382,South Gippsland (S)
Bayles Regional Primary School,Primary,3730 Ballarto Road,3981,03 5997 7261,Cardinia (S)
Le Page Primary School,Primary,77 Argus Street,3192,03 9583 8342,Kingston (C)
Powlett River Primary School,Primary,9 - 21 Bent Street,3992,03 5678 7240,Bass Coast (S)
Glen Waverley Primary School,Primary,774 High Street Road,3150,03 9802 9938,Monash (C)
Carrington Primary School,Primary,Laura Road,3180,03 9763 9600,Knox (C)
Albany Rise Primary School,Primary,74-82 Albany Drive,3170,03 9547 1146,Monash (C)
Amsleigh Park Primary School,Primary,17 State Street,3166,03 9544 1553,Monash (C)
Knox Central Primary School,Primary,39 Darwin Road,3155,03 9801 3289,Knox (C)
Mount Waverley North Primary School,Primary,Marcus Avenue,3149,03 9802 3168,Monash (C)
Rangeview Primary School,Primary,27 Churinga Avenue,3132,03 9874 6381,Whitehorse (C)
Edenhope College,Pri/Sec,40-48 Lake Street,3318,03 5585 1277,West Wimmera (S)
Murrayville Community College,Pri/Sec,20 Francis Street,3512,03 5095 2001,Mildura (RC)
Hawkesdale P12 College,Pri/Sec,65 Mitchell Street,3287,03 5560 7225,Moyne (S)
Carwatha College P-12,Pri/Sec,43-81 Browns Road,3174,03 9795 5848,Greater Dandenong (C)
Glen Waverley South Primary School,Primary,Whites Lane,3150,03 9560 6371,Monash (C)
Streeton Primary School,Primary,209 Yallambie Road,3085,03 9435 6070,Banyule (C)
Woorinen District Primary School,Primary,49 Palmer Street,3588,03 5037 6514,Swan Hill (RC)
Woady Yaloak Primary School,Primary,50 Becker Street,3351,03 5342 8565,Golden Plains (S)
Millwarra Primary School,Primary,Cavanagh Road,3799,03 5966 2518,Yarra Ranges (S)
Gormandale And District Primary School,Primary,38 Main Street,3873,03 5197 7444,Wellington (S)
Roxburgh Homestead Primary School,Primary,21-33 Mcpherson Boulevard,3064,03 9305 1688,Hume (C)
Newcomb Park Primary School,Primary,7 - 25 Richard Street,3219,03 5248 4176,Greater Geelong (C)
Dinjerra Primary School,Primary,44 South Road,3019,03 9311 1598,Maribyrnong (C)
Belle Vue Park Primary School,Primary,Morell Street,3046,03 9306 7900,Moreland (C)
Doncaster Gardens Primary School,Primary,Sandhurst Avenue,3109,03 9848 5282,Manningham (C)
Nyah District Primary School,Primary,53-59 Monash Avenue,3595,03 5030 2548,Swan Hill (RC)
Strathaird Primary School,Primary,20 Sherwood Road,3805,03 9705 3800,Casey (C)
Marnebek School Cranbourne,Special,9 New Holland Drive,3977,03 5996 3858,Casey (C)
Great Ryrie Primary School,Primary,Great Ryrie Street,3135,03 9870 6098,Maroondah (C)
Timbarra P-9 College,Pri/Sec,159-197 Parkhill Drive,3806,03 9704 2744,Casey (C)
Parkwood Green Primary School,Primary,Cnr Gourlay Rd & Community Hub,3037,03 9449 3600,Melton (C)
Hillsmeade Primary School,Primary,82S The Promenade,3805,03 9704 6313,Casey (C)
Roxburgh Park Primary School,Primary,7-21 Almands Avenue,3064,03 9303 9335,Hume (C)
Carranballac P-9 College,Pri/Sec,Cnr Foxwood Dve & Dunnings Rd,3030,03 9395 3533,Wyndham (C)
Benton Junior College,Primary,261 Racecourse Road,3931,03 5973 9100,Mornington Peninsula (S)
Caulfield Primary School,Primary,724 Glen Huntly Road,3162,03 9523 7932,Glen Eira (C)
East Gippsland Specialist School,Special,31 Calvert Street,3875,03 5152 5922,East Gippsland (S)
Roxburgh Rise Primary School,Primary,35-59 Lockwood Drive,3064,03 9305 4334,Hume (C)
Lynbrook Primary School,Primary,Paterson Drive,3975,03 8787 5390,Casey (C)
South Gippsland Specialist School,Special,13 Horn Street,3953,03 5662 4496,South Gippsland (S)
Laurimar Primary School,Primary,Armidale Road,3754,03 9717 7100,Whittlesea (C)
Truganina South Primary School,Primary,3-19 Parkvista Drive,3029,03 9296 1800,Wyndham (C)
Kororoit Creek Primary School,Primary,130 Tenterfield Drive,3023,03 8358 0600,Melton (C)
Harvest Home Primary School,Primary,365 Harvest Home Road,3076,03 8468 9000,Whittlesea (C)
Truganina P-9 College,Pri/Sec,55 Clearwood Drive,3029,03 9368 9800,Wyndham (C)
Burnside Primary School,Primary,35 Lexington Drive,3023,03 8578 6310,Melton (C)
Berwick Chase Primary School,Primary,72 Viewgrand Drive,3806,03 9707 7799,Casey (C)
Pakenham Lakeside Primary School,Primary,23 Shearwater Drive,3810,03 5940 9532,Cardinia (S)
Pakenham Springs Primary School,Primary,5 Livingstone Boulevard,3810,03 5945 7400,Cardinia (S)
Taylors Hill Primary School,Primary,40-50 Loddon Drive,3037,03 9361 4900,Melton (C)
Cranbourne Carlisle Primary School,Primary,15 Silky Oak Drive,3977,03 5991 3600,Casey (C)
Aurora School,Special,96 Holland Road,3130,03 8878 9878,Whitehorse (C)
Derrimut Primary School,Primary,40 Lennon Parkway,3026,03 8361 1000,Brimbank (C)
Epping Views Primary School,Primary,20 Mansfield Street,3076,03 8401 3791,Whittlesea (C)
Echuca Twin Rivers Primary School,Primary,66 Wilkinson Drive,3564,03 5410 7700,Campaspe (S)
Cranbourne East Primary School,Primary,2 Bowyer Avenue,3977,03 5990 0400,Casey (C)
Yuille Park P-8 Community College,Pri/Sec,39 Violet Grove,3355,03 5339 5555,Ballarat (C)
Lyndhurst Primary School,Primary,70 Brookwater Parade,3975,03 8768 6700,Casey (C)
Aitken Creek Primary School,Primary,51-81 Grevillea Street,3064,03 8338 3700,Hume (C)
Reservoir Views Primary School,Primary,73-91 Hickford Street,3073,03 9460 6995,Darebin (C)
Meadows Primary School,Primary,41 Gerbert Street,3047,03 9309 2573,Hume (C)
Mernda Park Primary School,Primary,40 Riverdale Boulevard,3754,03 8776 9700,Whittlesea (C)
Sunshine Harvester Primary School,Primary,132 Hertford Road,3020,03 9311 1234,Brimbank (C)
Pakenham Primary School,Primary,50 Atlantic Drive,3810,03 5918 3900,Cardinia (S)
Alamanda K-9 College,Pri/Sec,86-100 Alamanda Boulevard,3030,03 8376 5200,Wyndham (C)
Whitehorse Primary School,Primary,70-86 Junction Road,3130,03 9878 9339,Whitehorse (C)
Golden Square Primary School,Primary,19 - 31 Maple Street,3555,03 5443 6877,Greater Bendigo (C)
Lalor Gardens Primary School,Primary,134 Kingsway Drive,3075,03 9465 1351,Whittlesea (C)
Chandler Park Primary School,Primary,Cochrane Avenue,3173,03 9798 2228,Greater Dandenong (C)
Keysborough Primary School,Primary,33 Coomoora Road,3172,03 9798 4764,Greater Dandenong (C)
Lyndale Greens Primary School,Primary,1 - 19 Oakwood Avenue,3175,03 9795 2271,Greater Dandenong (C)
Athol Road Primary School,Primary,159-167 Athol Road,3172,03 9547 1224,Greater Dandenong (C)
Springvale Rise Primary School,Primary,32-52 Wareham Street,3171,03 9546 3799,Greater Dandenong (C)
Spring Parks Primary School,Primary,24 Erica Street,3171,03 9546 6402,Greater Dandenong (C)
Keilor Views Primary School,Primary,18 Swindon Crescent,3038,03 9367 7466,Brimbank (C)
Wyndham Park Primary School,Primary,59-77 Kookaburra Avenue,3030,03 9741 4549,Wyndham (C)
Lightning Reef Primary School,Primary,74 Holmes Road,3550,03 5443 2501,Greater Bendigo (C)
Glenroy Central Primary School,Primary,10 Logan Street,3046,03 9306 4144,Moreland (C)
William Ruthven Primary School,Primary,60 Merrilands Road,3073,03 9460 1668,Darebin (C)
Newbury Primary School,Primary,202-226 Newbury Boulevard,3064,03 8691 6900,Hume (C)
Dallas Brooks Community Primary School,Primary,26-36 King Street,3047,03 9309 1181,Hume (C)
Horsham Primary School,Primary,38 Baillie Street,3400,03 5382 1534,Horsham (RC)
Wyndham Vale Primary School,Primary,85 Ribblesdale Ave,3024,03 8754 0888,Wyndham (C)
Officer Specialist School,Special,3 Parker Street,3809,03 5943 2800,Cardinia (S)
Epping Primary School,Primary,805 High Street,3076,03 9408 6362,Whittlesea (C)
Hazel Glen College,Pri/Sec,115 Eminence Blvd,3754,03 9717 7500,Whittlesea (C)
Tulliallan Primary School,Primary,89 Wheelers Park Drive,3977,03 8766 3100,Casey (C)
Coolaroo South Primary School,Primary,52-72 Bushfield Crescent,3048,03 9309 1664,Hume (C)
Jacana School for Autism,Special,19-39 Landy Road,3047,03 9309 6258,Hume (C)
Torquay Coast Primary School,Primary,25 Stretton Drive,3228,03 5218 5600,Surf Coast (S)
Arnolds Creek Primary School,Primary,59 Claret Ash Boulevard,3337,03 9732 8300,Melton (C)
Wilandra Rise Primary School,Primary,25 Aayana Street,3978,03 5924 2500,Casey (C)
South Melbourne Primary School,Primary,129-161 Ferrars Street,3006,03 9935 9399,Port Phillip (C)
Barton Primary School,Primary,90 Everlasting Boulevard,3977,03 8766 4000,Casey (C)
John Henry Primary School,Primary,141 Henry Road,3810,03 5908 9500,Cardinia (S)
South Melbourne Park Primary School,Primary,29 Albert Drive Road South,3206,03 9498 3396,Port Phillip (C)
Bridgewood Primary School,Primary,115 Bridge Road,3809,03 8766 9400,Cardinia (S)
Armstrong Creek School,Primary,100 Central Boulevard,3217,03 5218 5100,Greater Geelong (C)
Hamlyn Views School,Special,45 Calvert St,3215,03 5215 5700,Greater Geelong (C)
Aireys Inlet Primary School,Primary,Anderson Street,3231,03 5289 7144,Surf Coast (S)
Aitken Hill Primary School,Primary,2 Rhyolite Drive,3064,03 8377 1000,Hume (C)
Morwell Central Primary School,Primary,47 - 87 McDonald Street,3840,03 5136 5568,Latrobe (C)
Ashley Park Primary School,Primary,105 Orchard Road,3754,03 8776 0200,Whittlesea (C)
Alvie Consolidated School,Primary,40 Wool Wool Rd,3249,03 5234 8256,Colac-Otway (S)
Apollo Bay P-12 College,Pri/Sec,Pengilley Avenue,3233,03 5237 6483,Colac-Otway (S)
Boisdale Consolidated School,Primary,69 Newry Road,3860,03 5145 4391,Wellington (S)
Cobram Primary School,Primary,90-100 WILLIAM STREET,3644,03 5872 1374,Moira (S)
Cohuna Consolidated School,Primary,Mead St,3568,03 5456 2361,Gannawarra (S)
Collingwood College,Pri/Sec,Cnr Cromwell St/McCutcheon Way,3066,03 9417 6681,Yarra (C)
Dunkeld Consolidated School,Primary,93 Victoria Valley Road,3294,03 5577 2384,Southern Grampians (S)
East Loddon P-12 College,Pri/Sec,Dingee Road,3571,03 5436 8300,Loddon (S)
Foster Primary School,Primary,75 Pioneer Street,3960,03 5682 2370,South Gippsland (S)
Goroke P-12 College,Pri/Sec,55 Natimuk-Frances Road,3412,03 5386 1024,West Wimmera (S)
Heywood Consolidated School,Primary,51 Kentbruck Road,3304,03 5527 1200,Glenelg (S)
Kiewa Valley Primary School,Primary,81 Kiewa East Road,3691,02 6027 3275,Indigo (S)
Lavers Hill K-12 College,Pri/Sec,Great Ocean Road,3238,03 5237 3213,Colac-Otway (S)
Lockington Consolidated School,Primary,20 Burns Street,3563,03 5486 2474,Campaspe (S)
Manangatang P-12 College,Pri/Sec,4105 Mallee Highway,3546,03 5035 1270,Swan Hill (RC)
Terang College,Pri/Sec,45 Strong Street,3264,03 5592 1349,Corangamite (S)
Merino Consolidated School,Primary,49 Paschendale Road,3310,03 5579 1305,Glenelg (S)
Rushworth P-12 College,Pri/Sec,45 Heily Street,3612,03 5856 1230,Campaspe (S)
Macleod College,Pri/Sec,Carwarp Street,3085,03 9459 0222,Banyule (C)
Pakenham Consolidated School,Primary,2 Rundell Way,3810,03 5941 1511,Cardinia (S)
Poowong Consolidated School,Primary,5 Gardner Lane,3988,03 5659 2356,South Gippsland (S)
Port Fairy Consolidated School,Primary,Albert Street,3284,03 5568 1051,Moyne (S)
Red Hill Consolidated School,Primary,341 Arthurs Seat Road,3937,03 5989 2321,Mornington Peninsula (S)
Sherbrooke Community School,Pri/Sec,311 Mt Dandenong Tourist Road,3787,03 9755 2007,Yarra Ranges (S)
Tongala Primary School,Primary,28 Miller Street,3621,03 5859 0551,Campaspe (S)
Werrimull P-12 School,Pri/Sec,5 McDonald Street,3496,03 5028 1251,Mildura (RC)
Camperdown College,Pri/Sec,1 Wilson Street,3260,03 5593 1617,Corangamite (S)
Timboon P-12 School,Pri/Sec,Bailey Street,3268,03 5598 3381,Corangamite (S)
Virtual School Victoria,Pri/Sec,315 Clarendon Street,3071,03 8480 0000,Darebin (C)
Wedderburn College,Pri/Sec,15-29 Hospital Street,3518,03 5494 3011,Loddon (S)
Mount Erin Secondary College,Secondary,Robinsons Road,3199,03 5971 6000,Frankston (C)
Box Hill Senior Secondary College,Pri/Sec,Dunloe Avenue,3129,03 9890 0571,Whitehorse (C)
Edgars Creek Secondary College,Secondary,2 Steen Avenue,3750,03 9134 8200,Whittlesea (C)
Cobden Technical School,Secondary,Mckenzie Street,3266,03 5595 1202,Corangamite (S)
Lyndhurst Secondary College,Secondary,950 South Gippsland Highway,3977,03 5996 0144,Casey (C)
Daylesford Secondary College,Secondary,39 Smith Street,3460,03 5348 2367,Hepburn (S)
Dromana Secondary College,Secondary,110 Harrisons Road,3936,03 5987 2805,Mornington Peninsula (S)
Grovedale College,Secondary,19 Wingarra Drive,3216,03 5245 4545,Greater Geelong (C)
Irymple Secondary College,Secondary,975 - 1011 Karadoc Ave,3498,03 5024 5407,Mildura (RC)
Crusoe 7-10 Secondary College,Secondary,57 - 75 Olympic Parade,3555,03 5447 7722,Greater Bendigo (C)
Peter Lalor Secondary College,Secondary,35 Duncan Road,3075,03 9464 0122,Whittlesea (C)
Lilydale Heights College,Secondary,17-19 Nelson Road,3140,03 9735 1133,Yarra Ranges (S)
Staughton College,Secondary,Wilson Road,3338,03 9743 4622,Melton (C)
Chaffey Secondary College,Secondary,261-289 Deakin Avenue,3500,03 5023 0538,Mildura (RC)
Bentleigh Secondary College,Secondary,Vivien St,3165,03 9579 1044,Glen Eira (C)
Mount Clear College,Secondary,59 Olympic Avenue,3353,03 5330 1500,Ballarat (C)
Rosehill Secondary College,Secondary,Sapphire Street,3042,03 9337 2488,Moonee Valley (C)
Northern College of the Arts and Technology,Secondary,62 Murray Road,3072,03 9478 1333,Darebin (C)
McGuire College,Secondary,92-100 Wilmot Road,3630,03 5858 9800,Greater Shepparton (C)
Swinburne Senior Secondary College,Secondary,505 Burwood Road,3122,03 8862 4400,Boroondara (C)
Victorian College Of The Arts Secondary School,Secondary,57 Miles Street,3006,03 8644 8644,Melbourne (C)
Brauer Secondary College,Secondary,Caramut Road,3280,03 5560 3888,Warrnambool (C)
Wyndham Central Secondary College,Secondary,101 Shaws Road,3030,03 9741 4911,Wyndham (C)
Weeroona College Bendigo,Secondary,383 Napier Street,3550,03 5443 2133,Greater Bendigo (C)
Whittlesea Secondary College,Secondary,55 Laurel Street,3757,03 9719 1200,Whittlesea (C)
Alexandra Secondary College,Secondary,Downey Street,3714,03 5770 2000,Murrindindi (S)
Auburn High School,Secondary,26 Burgess Street,3123,03 9822 3247,Boroondara (C)
Ballarat High School,Secondary,Sturt Street West,3350,03 5338 9000,Ballarat (C)
Balwyn High School,Secondary,Buchanan Avenue,3104,03 9819 7911,Boroondara (C)
Bayswater Secondary College,Secondary,14 Orchard Road,3153,03 8720 7555,Knox (C)
Beaufort Secondary College,Secondary,1/37 Park Road,3373,03 5349 2305,Pyrenees (S)
Beaumaris Secondary College,Secondary,117 - 136 Reserve Road,3193,03 8569 9200,Bayside (C)
Beechworth Secondary College,Secondary,85 Balaclava Road,3747,03 5728 1264,Indigo (S)
Belmont High School,Secondary,Rotherham Street,3216,03 5243 5355,Greater Geelong (C)
Bendigo Senior Secondary College,Secondary,40 Gaol Road,3550,03 5443 1222,Greater Bendigo (C)
Berwick Secondary College,Secondary,Manuka Road,3806,03 8768 1000,Casey (C)
Blackburn High School,Secondary,60 Springfield Road,3130,03 8804 6464,Whitehorse (C)
Box Hill High School,Secondary,1180 Whitehorse Road,3128,03 9877 1177,Whitehorse (C)
Braybrook College,Secondary,352 Ballarat Road,3019,03 9312 2900,Maribyrnong (C)
Brentwood Secondary College,Secondary,65-71 Watsons Road,3150,03 8545 0300,Monash (C)
Brighton Secondary College,Secondary,120 Marriage Road,3187,03 9592 7488,Bayside (C)
Broadford Secondary College,Secondary,2-12 Pinniger Street,3658,03 5784 1200,Mitchell (S)
Buckley Park College,Secondary,59-99 Cooper Street,3040,03 9331 9999,Moonee Valley (C)
Camberwell High School,Secondary,Prospect Hill Road,3126,03 9836 0555,Boroondara (C)
Canterbury Girls Secondary College,Secondary,16 Mangarra Road,3126,03 9830 5099,Boroondara (C)
Casterton Secondary College,Secondary,27 Mt Gambier Road,3311,03 5581 1588,Glenelg (S)
Cheltenham Secondary College,Secondary,73-75 Bernard Street,3192,03 9555 5955,Kingston (C)
Cobram Secondary College,Secondary,25-47 Warkil Street,3644,03 5871 1700,Moira (S)
Cohuna Secondary College,Secondary,6415 Murray Valley Highway,3568,03 5456 2555,Gannawarra (S)
Cranbourne Secondary College,Secondary,Stawell Street,3977,03 5996 3544,Casey (C)
Croydon Community School,Secondary,177-181 Mt Dandenong Road,3136,03 9724 2900,Maroondah (C)
Mount Alexander 7-12 College,Secondary,167-175 Mt Alexander Road,3031,03 9376 1622,Moonee Valley (C)
Dimboola Memorial Secondary College,Secondary,66 Ellerman Street,3414,03 5389 1460,Hindmarsh (S)
East Doncaster Secondary College,Secondary,20 George Street,3109,03 9842 2244,Manningham (C)
Donald High School,Secondary,2-16 Camp Street,3480,03 5497 1205,Buloke (S)
Doncaster Secondary College,Secondary,123 Church Road,3108,03 9848 4677,Manningham (C)
Drouin Secondary College,Secondary,South Road,3818,03 5625 1002,Baw Baw (S)
Eaglehawk Secondary College,Secondary,1-3 Reserve Street,3556,03 5446 8099,Greater Bendigo (C)
Eltham High School,Secondary,30-60 Withers Way,3095,03 9430 5111,Nillumbik (S)
Elwood College,Secondary,101 Glenhuntly Road,3184,03 9531 9566,Port Phillip (C)
Epping Secondary College,Secondary,Mcdonalds Road,3076,03 9401 2599,Whittlesea (C)
Euroa Secondary College,Secondary,26 Campbell St,3666,03 5795 2512,Strathbogie (S)
Fairhills High School,Secondary,Scoresby Road,3180,03 9758 5022,Knox (C)
Bendigo South East 7-10 Secondary College,Secondary,Ellis Street,3550,03 5443 4522,Greater Bendigo (C)
Gilmore College For Girls,Secondary,298 Barkly Street,3011,03 9689 4788,Maribyrnong (C)
Foster Secondary College,Secondary,2 - 10 Pioneer Street,3960,03 5682 2066,South Gippsland (S)
Frankston High School,Secondary,97 Foot Street,3199,03 9783 7955,Frankston (C)
Geelong High School,Secondary,385 Ryrie Street,3219,03 5225 4100,Greater Geelong (C)
North Geelong Secondary College,Secondary,86-132 Separation Street,3215,03 5240 5800,Greater Geelong (C)
Gisborne Secondary College,Secondary,95 Melton Road,3437,03 5428 3691,Macedon Ranges (S)
Gladstone Park Secondary College,Secondary,14 - 36 Taylor Drive,3043,03 9933 0500,Hume (C)
Bundoora Secondary College,Secondary,53 Balmoral Avenue,3083,03 9467 1511,Banyule (C)
Western Port Secondary College,Secondary,215 High Street,3915,03 5979 1577,Mornington Peninsula (S)
Healesville High School,Secondary,10 Camerons Road,3777,03 5962 4088,Yarra Ranges (S)
Heywood District Secondary College,Secondary,Gorrie Street,3304,03 5527 1303,Glenelg (S)
Highvale Secondary College,Secondary,Capital Avenue,3150,03 9803 5144,Monash (C)
Kerang Technical High School,Secondary,Murray St,3579,03 5452 1062,Gannawarra (S)
Kensington Community High School,Secondary,405 Racecourse Rd,3031,03 9376 1953,Melbourne (C)
Kew High School,Secondary,1393 Burke Road,3102,03 9092 7500,Boroondara (C)
Koonung Secondary College,Secondary,615 Elgar Road,3129,03 9890 9662,Whitehorse (C)
Koo Wee Rup Secondary College,Secondary,Rossiter Road,3981,03 5997 1444,Cardinia (S)
Korumburra Secondary College,Secondary,125 Jumbunna Road,3950,03 5655 1566,South Gippsland (S)
Kyabram P-12 College,Pri/Sec,57 Fischer Street,3620,03 5851 2100,Campaspe (S)
Kyneton Secondary College,Secondary,1-9 Epping Street,3444,03 5421 1100,Macedon Ranges (S)
Lalor Secondary College,Secondary,118 David Street,3075,03 9463 7300,Whittlesea (C)
Lalor North Secondary College,Secondary,114 Childs Road,3076,03 9401 3888,Whittlesea (C)
Lilydale High School,Secondary,25 Melba Avenue,3140,03 9735 5644,Yarra Ranges (S)
Lorne P-12 College,Pri/Sec,15 Grove Road,3232,03 5289 1585,Surf Coast (S)
Lyndale Secondary College,Secondary,170-174 Gladstone Road,3175,03 9795 2366,Greater Dandenong (C)
Lynall Hall Community School,Secondary,Cnr Gleadell & Highett Street,3121,03 9428 4421,Yarra (C)
Maffra Secondary College,Secondary,Bill Cane Court,3860,03 5147 1790,Wellington (S)
Mansfield Secondary College,Secondary,15 View Street,3722,03 5775 2022,Mansfield (S)
Maribyrnong Secondary College,Secondary,River Street,3032,03 9091 8100,Maribyrnong (C)
Matthew Flinders Girls Secondary College,Secondary,2 Little Ryrie Street,3220,03 4243 0500,Greater Geelong (C)
Melbourne High School,Secondary,Forrest Hill,3141,03 9826 0711,Stonnington (C)
Melton Secondary College,Secondary,Coburns Road,3337,03 9743 3322,Melton (C)
Mentone Girls Secondary College,Secondary,Cnr Balcombe & Charman Rds,3194,03 9581 5200,Kingston (C)
Mildura Senior College,Secondary,307-339 Deakin Avenue,3500,03 5051 4700,Mildura (RC)
Mirboo North Secondary College,Secondary,Castle Street,3871,03 5667 9000,South Gippsland (S)
Monbulk College,Secondary,146-148 David Hill Road,3793,03 9751 9000,Yarra Ranges (S)
Montmorency Secondary College,Secondary,Para Road,3094,03 9422 1500,Banyule (C)
Mooroolbark College,Secondary,186 Manchester Road,3138,03 9727 8100,Yarra Ranges (S)
Mooroopna Secondary College,Secondary,141-179 Echuca Road,3629,03 5825 2344,Greater Shepparton (C)
Mordialloc College,Secondary,1 Station Street,3195,03 9580 1184,Kingston (C)
Mount Beauty Secondary College,Secondary,Tailrace Road,3699,03 5754 4005,Alpine (S)
Mount Eliza Secondary College,Secondary,204 Canadian Bay Road,3930,03 9787 6288,Mornington Peninsula (S)
Mount Waverley Secondary College,Secondary,9 Lechte Road,3149,03 9803 6811,Monash (C)
McKinnon Secondary College,Secondary,291a Mckinnon Road,3204,03 8520 9000,Glen Eira (C)
MacRobertson Girls High School,Secondary,350-370 Kings Way,3004,03 9864 7700,Port Phillip (C)
Nathalia Secondary College,Secondary,41 Chapel Street,3638,03 5866 2331,Moira (S)
Neerim District Secondary College,Secondary,20 Neerim East Road,3831,03 5628 1455,Baw Baw (S)
Newcomb Secondary College,Secondary,81 - 85 Bellarine Highway,3219,03 5248 1400,Greater Geelong (C)
Northcote High School,Secondary,St Georges Road,3070,03 9488 2300,Darebin (C)
Norwood Secondary College,Secondary,Byron Street,3134,03 9871 0400,Maroondah (C)
Numurkah Secondary College,Secondary,104 Tocumwal Road,3636,03 5862 1088,Moira (S)
Oberon High School,Secondary,12 Pickett Crescent,3216,03 5243 4444,Greater Geelong (C)
Orbost Secondary College,Secondary,20 Arnold Street,3888,03 5154 1084,East Gippsland (S)
Ouyen P-12 College,Pri/Sec,1-35 Fuller Street,3490,03 5092 1182,Mildura (RC)
Pakenham Secondary College,Secondary,1020 Princes Highway,3810,03 5945 1433,Cardinia (S)
Parkdale Secondary College,Secondary,Warren Road,3195,03 9580 6311,Kingston (C)
Pascoe Vale Girls Secondary College,Secondary,Lake Avenue,3044,03 9306 2544,Moreland (C)
Prahran High School,Secondary,138 High Street,3181,03 9113 1000,Stonnington (C)
Preston High School,Secondary,2-16 Cooma Street,3072,03 9055 8400,Darebin (C)
Princes Hill Secondary College,Secondary,Arnold Street,3054,03 9389 0600,Yarra (C)
Bellarine Secondary College,Secondary,Peninsula Drive,3222,03 5251 9000,Greater Geelong (C)
Rainbow P-12 College,Pri/Sec,17 Albert Street,3424,03 5395 1063,Hindmarsh (S)
Red Cliffs Secondary College,Secondary,55 Fitzroy Avenue,3496,03 5024 1522,Mildura (RC)
Ringwood Secondary College,Secondary,Bedford Road,3134,03 9870 2002,Maroondah (C)
Richmond High School,Secondary,4 Griffiths Street,3121,03 8396 6399,Yarra (C)
Robinvale College,Pri/Sec,88 George Street,3549,03 5026 3704,Swan Hill (RC)
Rochester Secondary College,Secondary,Edward Street,3561,03 5484 1844,Campaspe (S)
Rosebud Secondary College,Secondary,245 Eastbourne Road,3939,03 5986 8595,Mornington Peninsula (S)
Rutherglen High School,Secondary,40 Sheridans Bridge Road,3685,02 6032 9483,Indigo (S)
Saltwater P-9 College,Pri/Sec,15 Kirra Place,3030,03 8366 7700,Wyndham (C)
Scoresby Secondary College,Secondary,Cavell Street,3179,03 9765 4100,Knox (C)
Shepparton High School,Secondary,31-71 Hawdon Street,3630,03 5821 4322,Greater Shepparton (C)
St Albans Secondary College,Secondary,289 Main Road East,3021,03 9366 2555,Brimbank (C)
St Arnaud Secondary College,Secondary,Smith Street,3478,03 5495 1811,Northern Grampians (S)
Oakwood School,Secondary,319 Balaclava Road,3161,03 9563 5644,Glen Eira (C)
Strathmore Secondary College,Secondary,400 Pascoe Vale Road,3041,03 9379 7999,Moonee Valley (C)
Sunbury College,Secondary,30 Racecourse Road,3429,03 9744 1066,Hume (C)
Sydney Road Community School,Secondary,350 Sydney Road,3056,03 9380 9417,Moreland (C)
Tallangatta Secondary College,Secondary,145 Towong Street,3700,02 6071 5000,Towong (S)
Thomastown Secondary College,Secondary,80-96 Main Street,3074,03 9465 0844,Whittlesea (C)
Trafalgar High School,Secondary,School Road,3824,03 5633 1733,Baw Baw (S)
Dohertys Creek P-9 College,Pri/Sec,60 Elmhurst Road,3029,03 8560 6079,Wyndham (C)
University High School,Secondary,77 Story Street,3052,03 9347 2022,Melbourne (C)
Roxburgh College,Secondary,60-70 Donald Cameron Drive,3064,03 9930 8100,Hume (C)
Upper Yarra Secondary College,Secondary,81-89 Little Yarra Road,3797,03 5967 1877,Yarra Ranges (S)
Upwey High School,Secondary,1451 Burwood Highway,3158,03 9754 2838,Yarra Ranges (S)
Vermont Secondary College,Secondary,27 - 63 Morack Road,3133,03 8872 6300,Whitehorse (C)
Kambrya College,Secondary,68 Bemersyde Drive,3806,03 9707 7600,Casey (C)
Wanganui Park Secondary College,Secondary,1 - 19 Parkside Drive,3630,03 5820 9900,Greater Shepparton (C)
Carrum Downs Secondary College,Secondary,263 McCormicks Road,3201,03 9788 9100,Frankston (C)
Wangaratta High School,Secondary,17-49 Edwards Street,3677,03 5723 0500,Wangaratta (RC)
Wantirna College,Secondary,90 Harold Street,3152,03 9801 9700,Knox (C)
Warracknabeal Secondary College,Secondary,1 Tregear Street,3393,03 5398 1433,Yarriambiack (S)
